Reaction_type,Reactant1_smiles,Reactant1_name,Reactant1_amount,Reactant2_smiles,Reactant2_name,Reactant2_amount,Reactant3_smiles,Reactant3_amount,Product1_smiles,Product1_name,Product1_yield,Product2_smiles,Product2_yield,Product3_smiles,Product3_yield,Temperature,Mechanical_treatment,Treatment_magnitude,Treatment_duration,URL,Solvent,Catalyst
Arylation,C/C(C1=CC=CC=C1)=N\OC,(E)-1-phenylethan-1-one O-methyl oxime,0.3,[O-]S(=O)(OOS(=O)([O-])=O)=O.[Na+].[Na+],sodium persulfate,0.6,,,C/C(C1=CC=CC=C1C2=CC=C(C)C=C2)=N\OC,"(E)-1-(4'-methyl-[1,1'-biphenyl]-2-yl)ethan-1-one O-methyl oxime",41.48,,,,,,Ball Mill,600 rpm,1,https://pubs.acs.org/doi/10.1021/acscatal.6b00861,toluene(1.8 mmol) + DMF(0.6 mmol) + TfOH(0.3 mmol),Pd(OAc)2 
Arylation,C/C(C1=CC=CC=C1)=N\OC,(E)-1-phenylethan-1-one O-methyl oxime,0.3,[O-]S(=O)(OOS(=O)([O-])=O)=O.[Na+].[Na+],sodium persulfate,0.6,,,C/C(C1=CC=CC=C1C2=CC=C(C)C=C2)=N\OC,"(E)-1-(4'-methyl-[1,1'-biphenyl]-2-yl)ethan-1-one O-methyl oxime",81.60,,,,,,Ball Mill,600 rpm,1,https://pubs.acs.org/doi/10.1021/acscatal.6b00861,toluene(1.8 mmol) + DMF(0.6 mmol),Pd(OAc)2 
Arylation,C/C(C1=CC=CC=C1)=N\OC,(E)-1-phenylethan-1-one O-methyl oxime,0.3,[O-]S(=O)(OOS(=O)([O-])=O)=O.[Na+].[Na+],sodium persulfate,0.6,,,C/C(C1=CC=CC=C1C2=CC=C(C)C=C2)=N\OC,"(E)-1-(4'-methyl-[1,1'-biphenyl]-2-yl)ethan-1-one O-methyl oxime",74.40,,,,,,Ball Mill,600 rpm,1,https://pubs.acs.org/doi/10.1021/acscatal.6b00861,toluene(1.8 mmol) + DMF(0.6 mmol) + TsOH*H2O(0.3 mmol),Pd(OAc)2
Arylation,C/C(C1=CC=CC=C1)=N\OC,(E)-1-phenylethan-1-one O-methyl oxime,0.3,[O-]S(=O)(OOS(=O)([O-])=O)=O.[Na+].[Na+],sodium persulfate,0.6,,,C/C(C1=CC=CC=C1C2=CC=C(C)C=C2)=N\OC,"(E)-1-(4'-methyl-[1,1'-biphenyl]-2-yl)ethan-1-one O-methyl oxime",7.52,,,,,,Ball Mill,600 rpm,1,https://pubs.acs.org/doi/10.1021/acscatal.6b00861,toluene(1.8 mmol) + DMF(0.6 mmol) + TfOH(0.3 mmol),Pd(TFA)2
Arylation,C/C(C1=CC=CC=C1)=N\OC,(E)-1-phenylethan-1-one O-methyl oxime,0.3,[O-]S(=O)(OOS(=O)([O-])=O)=O.[Na+].[Na+],sodium persulfate,0.6,,,C/C(C1=CC=CC=C1C2=CC=C(C)C=C2)=N\OC,"(E)-1-(4'-methyl-[1,1'-biphenyl]-2-yl)ethan-1-one O-methyl oxime",60.80,,,,,,Ball Mill,600 rpm,1,https://pubs.acs.org/doi/10.1021/acscatal.6b00861,toluene(1.8 mmol) + DMF(0.6 mmol) + TfOH(0.3 mmol),Pd2(dba)3 
Arylation,C/C(C1=CC=CC=C1)=N\OC,(E)-1-phenylethan-1-one O-methyl oxime,0.3,[O-]S(=O)(OOS(=O)([O-])=O)=O.[Na+].[Na+],sodium persulfate,0.6,,,C/C(C1=CC=CC=C1C2=CC=C(C)C=C2)=N\OC,"(E)-1-(4'-methyl-[1,1'-biphenyl]-2-yl)ethan-1-one O-methyl oxime",48.84,,,,,,Ball Mill,600 rpm,1,https://pubs.acs.org/doi/10.1021/acscatal.6b00861,toluene(1.8 mmol) + DMF(0.6 mmol) + TfOH(0.3 mmol),Pd(PPh3)4
Arylation,C/C(C1=CC=CC=C1)=N\OC,(E)-1-phenylethan-1-one O-methyl oxime,0.3,[O-]S(=O)(OOS(=O)([O-])=O)=O.[K+].[K+],potassium persulfate,0.6,,,C/C(C1=CC=CC=C1C2=CC=C(C)C=C2)=N\OC,"(E)-1-(4'-methyl-[1,1'-biphenyl]-2-yl)ethan-1-one O-methyl oxime",15.84,,,,,,Ball Mill,600 rpm,1,https://pubs.acs.org/doi/10.1021/acscatal.6b00861,toluene(1.8 mmol) + DMF(0.6 mmol) + TfOH(0.3 mmol),Pd(OAc)2
Arylation,C/C(C1=CC=CC=C1)=N\OC,(E)-1-phenylethan-1-one O-methyl oxime,0.3,[O-]S(=O)(OOS(=O)([O-])=O)=O.[NH4+].[NH4+],ammonium persulfate,0.6,,,C/C(C1=CC=CC=C1C2=CC=C(C)C=C2)=N\OC,"(E)-1-(4'-methyl-[1,1'-biphenyl]-2-yl)ethan-1-one O-methyl oxime",46.62,,,,,,Ball Mill,600 rpm,1,https://pubs.acs.org/doi/10.1021/acscatal.6b00861,toluene(1.8 mmol) + DMF(0.6 mmol) + TfOH(0.3 mmol),Pd(OAc)2 
Arylation,C/C(C1=CC=CC=C1)=N\OC,(E)-1-phenylethan-1-one O-methyl oxime,0.3,[O-][O+]=O,oxone,0.6,,,C/C(C1=CC=CC=C1C2=CC=C(C)C=C2)=N\OC,"(E)-1-(4'-methyl-[1,1'-biphenyl]-2-yl)ethan-1-one O-methyl oxime",33.48,,,,,,Ball Mill,600 rpm,1,https://pubs.acs.org/doi/10.1021/acscatal.6b00861,toluene(1.8 mmol) + DMF(0.6 mmol) + TfOH(0.3 mmol),Pd(OAc)2
Arylation,C/C(C1=CC=CC=C1)=N\OC,(E)-1-phenylethan-1-one O-methyl oxime,0.3,O=C1C=CC(C=C1)=O,benzoquinone,0.6,,,C/C(C1=CC=CC=C1C2=CC=C(C)C=C2)=N\OC,"(E)-1-(4'-methyl-[1,1'-biphenyl]-2-yl)ethan-1-one O-methyl oxime",0.00,,,,,,Ball Mill,600 rpm,1,https://pubs.acs.org/doi/10.1021/acscatal.6b00861,toluene(1.8 mmol) + DMF(0.6 mmol) + TfOH(0.3 mmol),Pd(OAc)2 
