Reaction_type,Reactant1_smiles,Reactant1_name,Reactant1_amount,Reactant2_smiles,Reactant2_name,Reactant2_amount,Reactant3_smiles,,Reactant3_amount,Product1_smiles,Product1_name,Product1_yield,Product2_smiles,Product2_yield,Product3_smiles,Product3_yield,Temperature,Mechanical_treatment,Treatment_magnitude,Treatment_duration,URL,Solvent,Catalyst
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Li+].[Br-],lithiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,95,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Na+].[Br-],sodiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,99,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[K+].[Br-],potassiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,98,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Rb+].[Br-],rubidiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,99,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cs+].[Br-],cesiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,99,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+].[Br-],copper(I)bromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,82,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+2].[Br-].[Br-],copper(II)bromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,84,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1 ,cyclopentadienylrhenium(I) tricarbonyl,0.298,CC[NH+](CC)CC[Br-],triethylammoniumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,99,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,O=C(N1Br)CCC1=O,N-bromosuccinimide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,99,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Na+].[Br-],sodiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,99,,,,,,Mortar and Pestle,,4,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
