Reaction_type,Reactant1_smiles,Reactant1_name,Reactant1_amount,Reactant2_smiles,Reactant2_name,Reactant2_amount,Reactant3_smiles,Reactant3_name,Reactant3_amount,Product1_smiles,Product1_yield,Temperature,Mechanical_treatment,Treatment_magnitude,Treatment_duration,URL
PDI synthesis,O=C(O1)C2=C3C(C1=O)=CC=CC3=CC=C2,"1, 8-napthalic anhydride",1,NC1=CC=C(OCC)C=C1,4-ethoxyaniline,1,,,,O=C1N(C2=CC=C(OCC)C=C2)C(C3=CC=CC4=CC=CC1=C34)=O,0,60,ball mill,30 Hz,0.083,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C1=O)=CC=CC3=CC=C2,"1, 8-napthalic anhydride",1,NC1=CC=C(OCC)C=C1,4-ethoxyaniline,1,,,,O=C1N(C2=CC=C(OCC)C=C2)C(C3=CC=CC4=CC=CC1=C34)=O,0,90,ball mill,30 Hz,0.083,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C1=O)=CC=CC3=CC=C2,"1, 8-napthalic anhydride",1,NC1=CC=C(OCC)C=C1,4-ethoxyaniline,1,,,,O=C1N(C2=CC=C(OCC)C=C2)C(C3=CC=CC4=CC=CC1=C34)=O,99,110,ball mill,30 Hz,0.083,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C1=O)=CC=CC3=CC=C2,"1, 8-napthalic anhydride",25,NC1=CC=C(OCC)C=C1,4-ethoxyaniline,25,,,,O=C1N(C2=CC=C(OCC)C=C2)C(C3=CC=CC4=CC=CC1=C34)=O,0,60,twin screw extrusion,55 rpm,0.1,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C1=O)=CC=CC3=CC=C2,"1, 8-napthalic anhydride",25,NC1=CC=C(OCC)C=C1,4-ethoxyaniline,25,,,,O=C1N(C2=CC=C(OCC)C=C2)C(C3=CC=CC4=CC=CC1=C34)=O,0,90,twin screw extrusion,55 rpm,0.1,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C1=O)=CC=CC3=CC=C2,"1, 8-napthalic anhydride",25,NC1=CC=C(OCC)C=C1,4-ethoxyaniline,25,,,,O=C1N(C2=CC=C(OCC)C=C2)C(C3=CC=CC4=CC=CC1=C34)=O,99,110,twin screw extrusion,55 rpm,0.1,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C1=O)=CC=CC3=CC=C2,"1, 8-napthalic anhydride",25,CCOC1=CC=C(C=C1)CN,4-ethoxyphenylmethanamine,,,,,O=C1N(CC2=CC=C(OC)C=C2)C(C3=CC=CC4=CC=CC1=C34)=O,0,110,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C1=O)=CC=CC3=CC=C2,"1, 8-napthalic anhydride",25,CCOC1=CC=C(C=C1)CN,4-ethoxyphenylmethanamine,,,,,O=C1N(CC2=CC=C(OC)C=C2)C(C3=CC=CC4=CC=CC1=C34)=O,99,133,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C1=O)=CC=CC3=CC=C2,"1, 8-napthalic anhydride",25,NCCC1=CC=CC=C1,2-phenylethan-1-amine,25,,,,O=C1N(CC2=CC=C(OC)C=C2)C(C3=CC=CC4=CC=CC1=C34)=O,0,110,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C1=O)=CC=CC3=CC=C2,"1, 8-napthalic anhydride",25,NCCC1=CC=CC=C1,2-phenylethan-1-amine,25,,,,O=C1N(CC2=CC=C(OC)C=C2)C(C3=CC=CC4=CC=CC1=C34)=O,99,136,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,PTCDA,12.74,CCCCCCCCCCCCN,dodecan-1-amine,25.48,,,,O=C1N(CCCCCCCCCCCC)C(C2=CC=C(C3=CC=C4C(N(CCCCCCCCCCCC)C(C5=CC=C6C3=C54)=O)=O)C7=C6C=CC1=C27)=O,94,110,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,PTCDA,12.74,CCCCCCCCN,octan-1-amine,25.48,,,,O=C1N(CCCCCCCC)C(C2=CC=C(C3=CC=C4C(N(CCCCCCCC)C(C5=CC=C6C3=C54)=O)=O)C7=C6C=CC1=C27)=O,60,110,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,PTCDA,12.74,CCCCCCCCN,octan-1-amine,31.85,,,,O=C1N(CCCCCCCC)C(C2=CC=C(C3=CC=C4C(N(CCCCCCCC)C(C5=CC=C6C3=C54)=O)=O)C7=C6C=CC1=C27)=O,91,110,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,PTCDA,12.74,NCCCOC,3-methoxypropan-1-amine,31.85,,,,O=C1N(CCCOC)C(C2=CC=C(C3=CC=C4C(N(CCCOC)C(C5=CC=C6C3=C54)=O)=O)C7=C6C=CC1=C27)=O,84,90,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,PTCDA,12.74,NCCCN(C)C,"N1,N1-dimethylpropane-1,3-diamine",25.48,,,,O=C1N(CCCN(C)C)C(C2=CC=C(C3=CC=C4C(N(CCCN(C)C)C(C5=CC=C6C3=C54)=O)=O)C7=C6C=CC1=C27)=O,50500,110,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,PTCDA,12.74,NCCCN(C)C,"N1,N1-dimethylpropane-1,3-diamine",31.85,,,,O=C1N(CCCN(C)C)C(C2=CC=C(C3=CC=C4C(N(CCCN(C)C)C(C5=CC=C6C3=C54)=O)=O)C7=C6C=CC1=C27)=O,92,110,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,PTCDA,12.74,NCCO,2-aminoethan-1-ol,25.48,,,,O=C1N(CCO)C(C2=CC=C(C3=CC=C4C(N(CCO)C(C5=CC=C6C3=C54)=O)=O)C7=C6C=CC1=C27)=O,94,110,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,PTCDA,12.74,NCCCC1=CC=CC=C1,3-phenylpropan-1-amine,25.48,,,,O=C1N(CCCC2=CC=CC=C2)C(C3=CC=C(C4=CC=C5C(N(CCCC6=CC=CC=C6)C(C7=CC=C8C4=C75)=O)=O)C9=C8C=CC1=C39)=O,94,110,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,PTCDA,12.74,NCCCC1=CC=CC=C1,2-phenylethan-1-amine,25.48,,,,O=C1N(CCC2=CC=CC=C2)C(C3=CC=C(C4=CC=C5C(N(CCC6=CC=CC=C6)C(C7=CC=C8C4=C75)=O)=O)C9=C8C=CC1=C39)=O,93,110,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,PTCDA,12.74,NCC1=CC=CC=C1,phenylmethanamine,25.48,,,,O=C1N(CC2=CC=CC=C2)C(C3=CC=C(C4=CC=C5C(N(CC6=CC=CC=C6)C(C7=CC=C8C4=C75)=O)=O)C9=C8C=CC1=C39)=O,40,110,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
PDI synthesis,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,PTCDA,12.74,NCC1=CC=CC=C1,phenylmethanamine,31.85,,,,O=C1N(CC2=CC=CC=C2)C(C3=CC=C(C4=CC=C5C(N(CC6=CC=CC=C6)C(C7=CC=C8C4=C75)=O)=O)C9=C8C=CC1=C39)=O,91,150,twin screw extrusion,55 rpm,,https://doi.org/10.1002/ange.201913625
