Reaction_type,Reactant1_smiles,Reactant1_name,Reactant1_amount,Reactant2_smiles,Reactant2_name,Reactant2_amount,Product1_smiles,Product_name,Product1_yield,mechanical_treatment,treatmant_duration,treatment_magnitude ,URL,,
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,IC1=CC=C(OC)C=C1,1-iodo-4-methoxybenzene,0.98,C[Si](C)(C#CC1=CC=C(OC)C=C1)C,((4-methoxyphenyl)ethynyl)trimethylsilane,84,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,,
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,IC1=CC=C(OC)C=C1,1-iodo-4-methoxybenzene,0.98,COC1=CC=C(C#CC2=CC=CC=C2)C=C1,1-methoxy-4-(phenylethynyl)benzene,86,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,,
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,IC1=CC=C(C)C=C1,1-iodo-4-methylbenzene,0.98,CC1=CC=C(C#C[Si](C)(C)C)C=C1,trimethyl(p-tolylethynyl)silane,40,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,IC1=CC=C(C)C=C1,1-iodo-4-methylbenzene,0.98,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1-methyl-4-(phenylethynyl)benzene,84,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,IC1=CC=C([H])C=C1,iodobenzene,0.98,C[Si](C)(C)C#CC1=CC=CC=C1,trimethyl(phenylethynyl)silane,93,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,IC1=CC=C([H])C=C1,iodobenzene,0.98,C1(C#CC2=CC=CC=C2)=CC=CC=C1,"1,2-diphenylethyne",95,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,IC1=CC=C(Br)C=C1,1-bromo-4-iodobenzene,0.98,C[Si](C)(C#CC1=CC=C(Br)C=C1)C,((4-bromophenyl)ethynyl)trimethylsilane,76,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,IC1=CC=C(Br)C=C1,1-bromo-4-iodobenzene,0.98,BrC1=CC=C(C#CC2=CC=CC=C2)C=C1,1-bromo-4-(phenylethynyl)benzene,88,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,IC1=CC=C(Cl)C=C1,1-chloro-4-iodobenzene,0.98,C[Si](C)(C#CC1=CC=C(Cl)C=C1)C,((4-chlorophenyl)ethynyl)trimethylsilane,74,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,IC1=CC=C(Cl)C=C1,1-chloro-4-iodobenzene,0.98,ClC1=CC=C(C#CC2=CC=CC=C2)C=C1,1-chloro-4-(phenylethynyl)benzene,87,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,IC1=CC=C(I)C=C1,"1,4-diiodobenzene",0.98,C[Si](C)(C#CC1=CC=C(I)C=C1)C,((4-iodophenyl)ethynyl)trimethylsilane,8.6,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,IC1=CC=CC=C1I,"1,2-diiodobenzene",0.98,IC1=CC=CC=C1C#CC2=CC=CC=C2,1-iodo-2-(phenylethynyl)benzene,0,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
